CNPJ;Ente;UF;Plano de Segregação;Sujeito Passivo;Aliquota;Início de Vigência;Fim de Vigência
63606479000124;Governo do Estado do Acre;AC;PREVIDENCIÁRIO;Ativos;11.00;2006-03-08 00:00:00.000;NULL
63606479000124;Governo do Estado do Acre;AC;PREVIDENCIÁRIO;Aposentados;11.00;2006-03-08 00:00:00.000;NULL
63606479000124;Governo do Estado do Acre;AC;PREVIDENCIÁRIO;Pensionistas;11.00;2006-03-08 00:00:00.000;NULL
63606479000124;Governo do Estado do Acre;AC;PREVIDENCIÁRIO;Ente;12.20;2012-01-01 00:00:00.000;NULL
04034583000122;Rio Branco;AC;FINANCEIRO;Aposentados;11.00;2013-01-01 00:00:00.000;NULL
04034583000122;Rio Branco;AC;FINANCEIRO;Pensionistas;11.00;2013-01-01 00:00:00.000;NULL
04034583000122;Rio Branco;AC;PREVIDENCIÁRIO;Ente;17.41;2010-04-01 00:00:00.000;NULL
04034583000122;Rio Branco;AC;PREVIDENCIÁRIO;Ativos;11.00;2010-04-01 00:00:00.000;NULL
04034583000122;Rio Branco;AC;PREVIDENCIÁRIO;Aposentados;11.00;2010-04-01 00:00:00.000;NULL
04034583000122;Rio Branco;AC;PREVIDENCIÁRIO;Pensionistas;11.00;2010-04-01 00:00:00.000;NULL
04034583000122;Rio Branco;AC;PREVIDENCIÁRIO;Ente-suplementar;4.96;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
04034583000122;Rio Branco;AC;PREVIDENCIÁRIO;Ente-suplementar;7.08;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
04034583000122;Rio Branco;AC;PREVIDENCIÁRIO;Ente-suplementar;9.20;2021-01-01 00:00:00.000;2021-12-31 00:00:00.000
12198693000158;Arapiraca;AL;FINANCEIRO;Ativos;11.00;2013-01-01 00:00:00.000;NULL
12198693000158;Arapiraca;AL;FINANCEIRO;Aposentados;11.00;2013-01-01 00:00:00.000;NULL
12198693000158;Arapiraca;AL;FINANCEIRO;Pensionistas;11.00;2013-01-01 00:00:00.000;NULL
12198693000158;Arapiraca;AL;FINANCEIRO;Ente;22.00;2018-08-30 00:00:00.000;NULL
12198693000158;Arapiraca;AL;PREVIDENCIÁRIO;Ativos;11.00;2011-07-27 00:00:00.000;NULL
12198693000158;Arapiraca;AL;PREVIDENCIÁRIO;Aposentados;11.00;2011-07-27 00:00:00.000;NULL
12198693000158;Arapiraca;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2011-07-27 00:00:00.000;NULL
12198693000158;Arapiraca;AL;PREVIDENCIÁRIO;Ente;11.00;2017-01-01 00:00:00.000;NULL
12198693000158;Arapiraca;AL;PREVIDENCIÁRIO;Ente-suplementar;0.03;2017-01-01 00:00:00.000;2038-12-31 00:00:00.000
12200143000126;Atalaia;AL;PREVIDENCIÁRIO;Aposentados;11.00;2006-01-06 00:00:00.000;NULL
12200143000126;Atalaia;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2006-01-06 00:00:00.000;NULL
12200143000126;Atalaia;AL;PREVIDENCIÁRIO;Ativos;11.00;2008-03-26 00:00:00.000;NULL
12200143000126;Atalaia;AL;PREVIDENCIÁRIO;Ente;11.00;2014-07-22 00:00:00.000;NULL
12200143000126;Atalaia;AL;PREVIDENCIÁRIO;Ente-suplementar;13.00;2014-07-22 00:00:00.000;NULL
12262713000102;Barra de Santo Antônio;AL;PREVIDENCIÁRIO;Aposentados;11.00;2010-11-18 00:00:00.000;NULL
12262713000102;Barra de Santo Antônio;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2010-11-18 00:00:00.000;NULL
12262713000102;Barra de Santo Antônio;AL;PREVIDENCIÁRIO;Ativos;11.00;2011-09-12 00:00:00.000;NULL
12262713000102;Barra de Santo Antônio;AL;PREVIDENCIÁRIO;Ente;11.00;2011-09-12 00:00:00.000;NULL
12250056000183;Batalha;AL;PREVIDENCIÁRIO;Ente;11.00;2018-12-03 00:00:00.000;NULL
12250056000183;Batalha;AL;PREVIDENCIÁRIO;Ativos;11.00;2018-12-03 00:00:00.000;NULL
12250056000183;Batalha;AL;PREVIDENCIÁRIO;Aposentados;11.00;2018-12-03 00:00:00.000;NULL
12250056000183;Batalha;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2018-12-03 00:00:00.000;NULL
12227641000162;Belém;AL;PREVIDENCIÁRIO;Ativos;11.00;2009-04-01 00:00:00.000;NULL
12227641000162;Belém;AL;PREVIDENCIÁRIO;Aposentados;11.00;2009-04-01 00:00:00.000;NULL
12227641000162;Belém;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2009-04-01 00:00:00.000;NULL
12227641000162;Belém;AL;PREVIDENCIÁRIO;Ente;12.24;2009-04-01 00:00:00.000;NULL
12250163000101;Belo Monte;AL;PREVIDENCIÁRIO;Ativos;11.00;2013-08-04 00:00:00.000;NULL
12250163000101;Belo Monte;AL;PREVIDENCIÁRIO;Aposentados;11.00;2013-08-04 00:00:00.000;NULL
12250163000101;Belo Monte;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2013-08-04 00:00:00.000;NULL
12250163000101;Belo Monte;AL;PREVIDENCIÁRIO;Ente;11.00;2016-04-01 00:00:00.000;NULL
12250163000101;Belo Monte;AL;PREVIDENCIÁRIO;Ente-suplementar;7.19;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
12250163000101;Belo Monte;AL;PREVIDENCIÁRIO;Ente-suplementar;9.26;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
12264396000163;Boca da Mata;AL;PREVIDENCIÁRIO;Ente;14.40;2009-10-14 00:00:00.000;NULL
12264396000163;Boca da Mata;AL;PREVIDENCIÁRIO;Ativos;11.00;2013-03-07 00:00:00.000;NULL
12264396000163;Boca da Mata;AL;PREVIDENCIÁRIO;Aposentados;11.00;2013-03-07 00:00:00.000;NULL
12264396000163;Boca da Mata;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2013-03-07 00:00:00.000;NULL
12264396000163;Boca da Mata;AL;PREVIDENCIÁRIO;Ente-suplementar;11.48;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
12332995000177;Branquinha;AL;PREVIDENCIÁRIO;Ativos;11.00;2006-12-22 00:00:00.000;NULL
12332995000177;Branquinha;AL;PREVIDENCIÁRIO;Aposentados;11.00;2006-12-22 00:00:00.000;NULL
12332995000177;Branquinha;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2006-12-22 00:00:00.000;NULL
12332995000177;Branquinha;AL;PREVIDENCIÁRIO;Ente;9.34;2013-01-01 00:00:00.000;NULL
12332995000177;Branquinha;AL;PREVIDENCIÁRIO;Ente-suplementar;8.81;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
12332995000177;Branquinha;AL;PREVIDENCIÁRIO;Ente-suplementar;8.81;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
12227971000158;Cacimbinhas;AL;PREVIDENCIÁRIO;Ativos;11.00;2013-05-01 00:00:00.000;NULL
12227971000158;Cacimbinhas;AL;PREVIDENCIÁRIO;Aposentados;11.00;2013-05-01 00:00:00.000;NULL
12227971000158;Cacimbinhas;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2013-05-01 00:00:00.000;NULL
12227971000158;Cacimbinhas;AL;PREVIDENCIÁRIO;Ente;14.00;2013-09-01 00:00:00.000;NULL
12333738000150;Cajueiro;AL;FINANCEIRO;Ativos;11.00;2013-04-04 00:00:00.000;NULL
12333738000150;Cajueiro;AL;FINANCEIRO;Aposentados;11.00;2013-04-04 00:00:00.000;NULL
12333738000150;Cajueiro;AL;FINANCEIRO;Pensionistas;11.00;2013-04-04 00:00:00.000;NULL
12333738000150;Cajueiro;AL;FINANCEIRO;Ente;8.12;2014-10-23 00:00:00.000;NULL
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Aposentados;11.00;2013-04-04 00:00:00.000;NULL
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Ativos;11.00;2013-04-04 00:00:00.000;NULL
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2013-04-04 00:00:00.000;NULL
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Ente;8.12;2014-10-23 00:00:00.000;NULL
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Ente-suplementar;18.71;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Ente-suplementar;19.72;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Ente-suplementar;20.72;2021-01-01 00:00:00.000;2021-12-31 00:00:00.000
12333738000150;Cajueiro;AL;PREVIDENCIÁRIO;Ente-suplementar;21.73;2022-01-01 00:00:00.000;2022-12-31 00:00:00.000
01631604000107;Campestre;AL;PREVIDENCIÁRIO;Ente;11.00;2017-04-04 00:00:00.000;NULL
01631604000107;Campestre;AL;PREVIDENCIÁRIO;Aposentados;11.00;2017-07-04 00:00:00.000;NULL
01631604000107;Campestre;AL;PREVIDENCIÁRIO;Ativos;11.00;2017-07-04 00:00:00.000;NULL
01631604000107;Campestre;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2017-07-04 00:00:00.000;NULL
01631604000107;Campestre;AL;PREVIDENCIÁRIO;Ente-suplementar;5.30;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
01631604000107;Campestre;AL;PREVIDENCIÁRIO;Ente-suplementar;10.61;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
01631604000107;Campestre;AL;PREVIDENCIÁRIO;Ente-suplementar;15.91;2021-01-01 00:00:00.000;2021-12-31 00:00:00.000
12264628000183;Campo Alegre;AL;PREVIDENCIÁRIO;Ativos;11.00;2010-05-03 00:00:00.000;NULL
12264628000183;Campo Alegre;AL;PREVIDENCIÁRIO;Aposentados;11.00;2010-05-03 00:00:00.000;NULL
12264628000183;Campo Alegre;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2010-05-03 00:00:00.000;NULL
12264628000183;Campo Alegre;AL;PREVIDENCIÁRIO;Ente;13.00;2013-09-23 00:00:00.000;NULL
12367892000142;Canapi;AL;PREVIDENCIÁRIO;Aposentados;11.00;2008-11-25 00:00:00.000;NULL
12367892000142;Canapi;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2008-11-25 00:00:00.000;NULL
12367892000142;Canapi;AL;PREVIDENCIÁRIO;Ativos;11.00;2011-08-02 00:00:00.000;NULL
12367892000142;Canapi;AL;PREVIDENCIÁRIO;Ente;5.15;2013-01-01 00:00:00.000;NULL
12367892000142;Canapi;AL;PREVIDENCIÁRIO;Ente-suplementar;6.74;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
12367892000142;Canapi;AL;PREVIDENCIÁRIO;Ente-suplementar;6.74;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
12250684000169;Carneiros;AL;PREVIDENCIÁRIO;Ativos;11.00;2010-05-04 00:00:00.000;NULL
12250684000169;Carneiros;AL;PREVIDENCIÁRIO;Ente;11.00;2010-05-04 00:00:00.000;NULL
12250684000169;Carneiros;AL;PREVIDENCIÁRIO;Aposentados;11.00;2010-05-04 00:00:00.000;NULL
12250684000169;Carneiros;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2010-05-04 00:00:00.000;NULL
12334629000157;Chã Preta;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2006-10-02 00:00:00.000;NULL
12334629000157;Chã Preta;AL;PREVIDENCIÁRIO;Ativos;11.00;2006-10-02 00:00:00.000;NULL
12334629000157;Chã Preta;AL;PREVIDENCIÁRIO;Aposentados;11.00;2006-10-02 00:00:00.000;NULL
12334629000157;Chã Preta;AL;PREVIDENCIÁRIO;Ente;11.64;2006-10-02 00:00:00.000;NULL
12334629000157;Chã Preta;AL;PREVIDENCIÁRIO;Ente-suplementar;36.13;2019-01-01 00:00:00.000;2042-12-31 00:00:00.000
12198719000168;Coité do Nóia;AL;PREVIDENCIÁRIO;Ativos;11.00;2008-04-01 00:00:00.000;NULL
12198719000168;Coité do Nóia;AL;PREVIDENCIÁRIO;Aposentados;11.00;2008-04-01 00:00:00.000;NULL
12198719000168;Coité do Nóia;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2008-04-01 00:00:00.000;NULL
12198719000168;Coité do Nóia;AL;PREVIDENCIÁRIO;Ente;15.48;2010-06-01 00:00:00.000;NULL
12198719000168;Coité do Nóia;AL;PREVIDENCIÁRIO;Ente-suplementar;15.32;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
12198719000168;Coité do Nóia;AL;PREVIDENCIÁRIO;Ente-suplementar;16.52;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
12332987000120;Colônia Leopoldina;AL;PREVIDENCIÁRIO;Ente;12.87;2014-03-11 00:00:00.000;NULL
12332987000120;Colônia Leopoldina;AL;PREVIDENCIÁRIO;Ativos;12.00;2014-03-11 00:00:00.000;NULL
12332987000120;Colônia Leopoldina;AL;PREVIDENCIÁRIO;Pensionistas;12.00;2014-03-11 00:00:00.000;NULL
12332987000120;Colônia Leopoldina;AL;PREVIDENCIÁRIO;Aposentados;12.00;2014-03-11 00:00:00.000;NULL
12332987000120;Colônia Leopoldina;AL;PREVIDENCIÁRIO;Ente-suplementar;16.87;2019-01-01 00:00:00.000;2019-12-31 00:00:00.000
12332987000120;Colônia Leopoldina;AL;PREVIDENCIÁRIO;Ente-suplementar;19.45;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
12332987000120;Colônia Leopoldina;AL;PREVIDENCIÁRIO;Ente-suplementar;22.03;2021-01-01 00:00:00.000;2021-01-31 00:00:00.000
12200325000105;Coqueiro Seco;AL;PREVIDENCIÁRIO;Ente;13.00;2013-04-01 00:00:00.000;NULL
12200325000105;Coqueiro Seco;AL;PREVIDENCIÁRIO;Ativos;11.00;2013-04-01 00:00:00.000;NULL
12200325000105;Coqueiro Seco;AL;PREVIDENCIÁRIO;Aposentados;11.00;2013-04-01 00:00:00.000;NULL
12200325000105;Coqueiro Seco;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2013-04-01 00:00:00.000;NULL
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Ativos;11.00;2010-07-01 00:00:00.000;NULL
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Aposentados;11.00;2010-07-01 00:00:00.000;NULL
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2010-07-01 00:00:00.000;NULL
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Ente;11.00;2018-11-01 00:00:00.000;NULL
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Ente-suplementar;6.00;2018-11-01 00:00:00.000;2019-12-31 00:00:00.000
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Ente-suplementar;7.00;2020-01-01 00:00:00.000;2020-12-31 00:00:00.000
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Ente-suplementar;9.00;2021-01-01 00:00:00.000;2021-12-31 00:00:00.000
12264230000147;Coruripe;AL;PREVIDENCIÁRIO;Ente-suplementar;11.00;2022-01-01 00:00:00.000;2022-12-31 00:00:00.000
08439549000199;Craíbas;AL;PREVIDENCIÁRIO;Ativos;11.00;2016-05-30 00:00:00.000;NULL
08439549000199;Craíbas;AL;PREVIDENCIÁRIO;Aposentados;11.00;2016-05-30 00:00:00.000;NULL
08439549000199;Craíbas;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2016-05-30 00:00:00.000;NULL
08439549000199;Craíbas;AL;PREVIDENCIÁRIO;Ativos;11.00;2016-05-30 00:00:00.000;NULL
08439549000199;Craíbas;AL;PREVIDENCIÁRIO;Ente;16.29;2016-05-30 00:00:00.000;NULL
12262721000159;Flexeiras;AL;PREVIDENCIÁRIO;Ente;11.00;2015-11-24 00:00:00.000;NULL
12262721000159;Flexeiras;AL;PREVIDENCIÁRIO;Aposentados;11.00;2015-11-24 00:00:00.000;NULL
12262721000159;Flexeiras;AL;PREVIDENCIÁRIO;Ativos;11.00;2015-11-24 00:00:00.000;NULL
12262721000159;Flexeiras;AL;PREVIDENCIÁRIO;Pensionistas;11.00;2015-11-24 00:00:00.000;NULL
