CNPJ;UF;Ente Federativo;Regime
84306737000127;AC;Acrelândia;RGPS
04045993000179;AC;Assis Brasil;RGPS
04508933000145;AC;Brasiléia;RGPS
84306620000143;AC;Bujari;RGPS
84306604000150;AC;Capixaba;RGPS
04012548000102;AC;Cruzeiro do Sul;RGPS
84306588000104;AC;Epitaciolândia;RGPS
04005179000120;AC;Feijó;RGPS
63606479000124;AC;Governo do Estado do Acre;RPPS
84306497000160;AC;Jordão;RGPS
04059671000189;AC;Mâncio Lima;RGPS
04051207000146;AC;Manoel Urbano;RGPS
84306463000176;AC;Marechal Thaumaturgo;RGPS
04076733000160;AC;Plácido de Castro;RGPS
84306661000130;AC;Porto Acre;RGPS
63603625000168;AC;Porto Walter;RGPS
04034583000122;AC;Rio Branco;RPPS
84306455000120;AC;Rodrigues Alves;RGPS
84306521000161;AC;Santa Rosa do Purus;RGPS
04513362000137;AC;Sena Madureira;RGPS
04077251000125;AC;Senador Guiomard;RGPS
34693564000179;AC;Tarauacá;RGPS
04018560000124;AC;Xapuri;RGPS
12350153000148;AL;Água Branca;RGPS
12227351000119;AL;Anadia;RGPS
12198693000158;AL;Arapiraca;RPPS
12200143000126;AL;Atalaia;RPPS
12262713000102;AL;Barra de Santo Antônio;RPPS
12263869000108;AL;Barra de São Miguel;RGPS
12250056000183;AL;Batalha;RPPS
12227641000162;AL;Belém;RPPS
12250163000101;AL;Belo Monte;RPPS
12264396000163;AL;Boca da Mata;RPPS
12332995000177;AL;Branquinha;RPPS
12227971000158;AL;Cacimbinhas;RPPS
12333738000150;AL;Cajueiro;RPPS
01631604000107;AL;Campestre;RPPS
12264628000183;AL;Campo Alegre;RPPS
12198701000166;AL;Campo Grande;RGPS
12367892000142;AL;Canapi;RPPS
12333753000106;AL;Capela;RGPS
12250684000169;AL;Carneiros;RPPS
12334629000157;AL;Chã Preta;RPPS
12198719000168;AL;Coité do Nóia;RPPS
12332987000120;AL;Colônia Leopoldina;RPPS
12200325000105;AL;Coqueiro Seco;RPPS
12264230000147;AL;Coruripe;RPPS
08439549000199;AL;Craíbas;RPPS
12224895000127;AL;Delmiro Gouveia;RGPS
12250908000132;AL;Dois Riachos;RGPS
24176307000106;AL;Estrela de Alagoas;RGPS
12207528000115;AL;Feira Grande;RGPS
12242020000158;AL;Feliz Deserto;RGPS
12262721000159;AL;Flexeiras;RPPS
12207536000161;AL;Girau do Ponciano;RPPS
12200176000176;AL;Governo do Estado de Alagoas;RPPS
12332961000182;AL;Ibateguara;RGPS
12228375000192;AL;Igaci;RPPS
12242350000143;AL;Igreja Nova;RGPS
12226197000160;AL;Inhapi;RPPS
12250999000106;AL;Jacaré dos Homens;RGPS
12247755000174;AL;Jacuípe;RPPS
12247946000136;AL;Japaratinga;RPPS
12207544000108;AL;Jaramataia;RPPS
02917132000108;AL;Jequiá da Praia;RPPS
12262739000150;AL;Joaquim Gomes;RGPS
12248100000110;AL;Jundiá;RPPS
12265468000197;AL;Junqueiro;RPPS
12207551000100;AL;Lagoa da Canoa;RPPS
12207403000195;AL;Limoeiro de Anadia;RGPS
12200135000180;AL;Maceió;RPPS
12228904000158;AL;Major Izidoro;RPPS
12333761000144;AL;Mar Vermelho;RPPS
12248522000196;AL;Maragogi;RPPS
12251286000167;AL;Maravilha;RPPS
12200275000158;AL;Marechal Deodoro;RPPS
12236873000187;AL;Maribondo;RPPS
12226205000179;AL;Mata Grande;RPPS
12342663000173;AL;Matriz de Camaragibe;RPPS
12200283000102;AL;Messias;RPPS
12237038000161;AL;Minador do Negrão;RPPS
12251450000136;AL;Monteirópolis;RPPS
12332953000136;AL;Murici;RPPS
12248878000120;AL;Novo Lino;RPPS
12251468000138;AL;Olho d'Água das Flores;RPPS
12350146000146;AL;Olho d'Água do Casado;RGPS
12207411000131;AL;Olho d'Água Grande;RGPS
12257762000157;AL;Olivença;RPPS
12258141000198;AL;Ouro Branco;RPPS
12369872000100;AL;Palestina;RPPS
12356879000198;AL;Palmeira dos Índios;RPPS
12369880000157;AL;Pão de Açúcar;RPPS
35634435000172;AL;Pariconha;RGPS
35561471000153;AL;Paripueira;RGPS
12342655000127;AL;Passo de Camaragibe;RPPS
12335030000138;AL;Paulo Jacinto;RPPS
12243697000100;AL;Penedo;RPPS
12247268000101;AL;Piaçabuçu;RGPS
12200150000128;AL;Pilar;RPPS
12335436000110;AL;Pindoba;RPPS
12225546000120;AL;Piranhas;RPPS
12259040000131;AL;Poço das Trincheiras;RPPS
12366720000154;AL;Porto Calvo;RPPS
08629446000191;AL;Porto de Pedras;RPPS
12207429000133;AL;Porto Real do Colégio;RGPS
12241675000101;AL;Quebrangulo;RPPS
12200168000120;AL;Rio Largo;RGPS
12264248000149;AL;Roteiro;RGPS
12200317000150;AL;Santa Luzia do Norte;RPPS
12250916000189;AL;Santana do Ipanema;RGPS
12332979000184;AL;Santana do Mundaú;RPPS
12207437000180;AL;São Brás;RGPS
12330916000199;AL;São José da Laje;RPPS
